day,beached_cum_%,left_domain_cum_%,floating_%,new_beached_%pt_per_day,new_left_domain_%pt_per_day
0,0.001,0.295,99.704,0.0,0.0
1,35.772,0.523,63.705,35.771,0.228
2,45.975,0.938,53.087,10.203,0.415
3,53.67,1.101,45.229,7.695,0.163
4,56.255,1.242,42.503,2.585,0.141
5,58.517,1.474,40.009,2.262,0.232
6,60.188,1.653,38.159,1.671,0.179
7,61.387,1.751,36.862,1.199,0.098
8,62.769,1.848,35.383,1.382,0.097
9,64.476,2.028,33.496,1.707,0.18
10,65.496,2.387,32.117,1.02,0.359
11,66.532,3.133,30.335,1.036,0.746
12,67.265,3.585,29.15,0.733,0.452
13,67.914,3.952,28.134,0.649,0.367
14,68.121,4.205,27.674,0.207,0.253
15,68.412,4.498,27.09,0.291,0.293
16,68.632,4.664,26.704,0.22,0.166
17,68.853,5.0,26.147,0.221,0.336
18,69.165,5.435,25.4,0.312,0.435
19,69.553,5.788,24.659,0.388,0.353
20,69.881,6.062,24.057,0.328,0.274
21,70.351,6.378,23.271,0.47,0.316
22,70.642,6.568,22.79,0.291,0.19
23,71.046,6.809,22.145,0.404,0.241
24,71.544,7.249,21.207,0.498,0.44
25,72.22,7.604,20.176,0.676,0.355
26,72.623,8.04,19.337,0.403,0.436
27,73.201,8.333,18.466,0.578,0.293
28,73.518,8.524,17.958,0.317,0.191
29,73.998,8.712,17.29,0.48,0.188
30,74.39,8.915,16.695,0.392,0.203
31,74.597,9.043,16.36,0.207,0.128
32,74.683,9.11,16.207,0.086,0.067
33,74.759,9.169,16.072,0.076,0.059
34,74.855,9.255,15.89,0.096,0.086
35,75.052,9.48,15.468,0.197,0.225
36,75.487,9.693,14.82,0.435,0.213
37,75.783,9.94,14.277,0.296,0.247
38,76.054,10.184,13.762,0.271,0.244
39,76.277,10.361,13.362,0.223,0.177
40,76.391,10.498,13.111,0.114,0.137
41,76.494,10.59,12.916,0.103,0.092
42,76.898,10.769,12.333,0.404,0.179
43,77.161,10.958,11.881,0.263,0.189
44,77.427,11.165,11.408,0.266,0.207
45,77.578,11.335,11.087,0.151,0.17
46,77.692,11.528,10.78,0.114,0.193
47,77.798,11.644,10.558,0.106,0.116
48,78.025,11.781,10.194,0.227,0.137
49,78.082,11.98,9.938,0.057,0.199
50,78.113,12.145,9.742,0.031,0.165
51,78.204,12.264,9.532,0.091,0.119
52,78.273,12.373,9.354,0.069,0.109
53,78.319,12.439,9.242,0.046,0.066
54,78.398,12.563,9.039,0.079,0.124
55,78.471,12.673,8.856,0.073,0.11
56,78.498,12.757,8.745,0.027,0.084
57,78.518,12.859,8.623,0.02,0.102
58,78.536,12.967,8.497,0.018,0.108
59,78.548,13.024,8.428,0.012,0.057
60,78.653,13.143,8.204,0.105,0.119
61,78.803,13.299,7.898,0.15,0.156
62,78.85,13.349,7.801,0.047,0.05
63,78.869,13.405,7.726,0.019,0.056
64,78.884,13.444,7.672,0.015,0.039
65,78.931,13.473,7.596,0.047,0.029
66,78.952,13.505,7.543,0.021,0.032
67,78.959,13.542,7.499,0.007,0.037
68,78.985,13.594,7.421,0.026,0.052
69,79.012,13.682,7.306,0.027,0.088
70,79.049,13.774,7.177,0.037,0.092
71,79.084,13.854,7.062,0.035,0.08
72,79.121,13.892,6.987,0.037,0.038
73,79.172,13.963,6.865,0.051,0.071
74,79.205,14.019,6.776,0.033,0.056
75,79.226,14.052,6.722,0.021,0.033
76,79.243,14.083,6.674,0.017,0.031
77,79.256,14.118,6.626,0.013,0.035
78,79.274,14.154,6.572,0.018,0.036
79,79.309,14.162,6.529,0.035,0.008
80,79.321,14.169,6.51,0.012,0.007
81,79.36,14.205,6.435,0.039,0.036
82,79.393,14.25,6.357,0.033,0.045
83,79.416,14.281,6.303,0.023,0.031
84,79.452,14.355,6.193,0.036,0.074
85,79.472,14.421,6.107,0.02,0.066
86,79.49,14.456,6.054,0.018,0.035
87,79.501,14.522,5.977,0.011,0.066
88,79.508,14.576,5.916,0.007,0.054
89,79.52,14.617,5.863,0.012,0.041
